name|email|country|products
 |commerciale@destrodiffusione.it|Via dell'Artigianato, 7Peraga di Vigonza (PD)-35010Italy | Footwear : Shoe components, Garments and Gloves : Other - garments, Leather Goods : Other - leather goods, 
 |dueesse@dueesse.com|Via Colli Asola, 61Morrovalle (MC)-62010Italy | Leather : Sole leather, 
 ||C. da Grazie Fiastra SncLoro Piceno (MC)-62020Italy | Footwear : Shoe components, 
 |lg@ellegipellami.it|Piazza del Volontariato 7Castelfranco di Sotto- PI-56022Italy | Hides and Skins : Chrome crust, Vegetable crust, Footwear : Women's shoes, Leather Goods : Small leather goods, Belts, 
Barbara Landra General Manager |info@icaiplast.it|Via Gambolina, 66Vigevano (PV)-27029Italy | Footwear : Shoe components, Leather Goods : Other - leather goods, 
Carlo Pisoni |info@italcompo.it|Via Ragazzi del 99 n.77San Giorgio su Legnano-20010Italy | Footwear : Shoe components, 
Ivan Belloni General Manager |ibello@tin.it|Viale Matteotti 53Parabiago (MI)-20015Italy | Hides and Skins : Wet salted, Dry salted, Air/Frame dried, Limed, Pickled, Wet blue, Chrome crust, Vegetable crust, Leather : Footwear – upper leather, Leathergoods leather, Automotive leather, Footwear – lining leather, Sole leather, Upholstery leather, Garment leather, Gloving leather, Saddlery and harness leather, Industrial leather, Split leather, Chemicals : Pretanning, Tanning, Retanning, Dyeing, Footwear : Men's shoes, Women's shoes, Children shoes, Sandals, Safety, Sport, Garments and Gloves : Motorcycling, Leather Goods : Small leather goods, Large leather goods, Belts, Saddlery and harness, 
Eros Strappa Owner |eros@manifatturaeros.com|Via Alpi 91/93Montegranaro-63014Italy | Footwear : Women's shoes, 
Sergio Brizzi |info@metalo.it|Via Cassolnovo 71Abbiategrasso - Milano-20081Italy | Footwear : Shoe components, 
Mohamed Dalmar Director |dalmar35@yahoo.co.uk|Via Volturno 21Roma-Italy | Hides and Skins : Dry salted, Wet blue, Other - hides and skins, Leather : Upholstery leather, Footwear : Men's shoes, Other - footwear, Garments and Gloves : Jacket, coats, Industrial gloves, Other - garments, Leather Goods : Other - leather goods, 
Mauro Zecchini Titolare |szmz53@hotmail.com|10, Via G.GabussiBologna-Italy | Footwear : Sandals, 
Giuseppe Di Domenico Entrepreneur |info@tuttocuoio.it|Via Paolo Borsellino 6/8/10Ponte a Egola-San Miniato-56024Italy | Leather : Sole leather, Footwear : Shoe components, 
 |info@tgpitalia.com|Piazzale C.A. Dalla Chiesa, 1/3San Mauro Pascoli (FC)-47030Italy | Footwear : Shoe components, 
 |info@tsm.it|Contrada Tenna, 89Rapagnano (AP)-63020Italy | Footwear : Shoe components, 
 |info@tacchificiocorva.it|Strada Provinciale CorvaSant'Elpidio a Mare (AP)-63019Italy | Footwear : Shoe components, 
 |info@marcatotacchi.it|Via Torre 3Correzzola (PD)-35020Italy | Footwear : Shoe components, 
 |info@tacchificiomonti.com|Via Porrettana Sud 99Marzabotto (BO)-40043Italy | Footwear : Shoe components, 
 |info@tacchificiovaldichienti.it|Via Annibal CaroFr. TrodicaMorrovalle-62010Italy | Footwear : Shoe components, 
 |valtat@val.it|Via Carlo Emilio Gadda, 14S. Giovanni Valdarno (AR)-Italy | Footwear : Shoe components, 
Lamberto Marinelli Owner |info@takplast.com|Via Egeo 83Porto S. Elpidio (AP)-63018Italy | Footwear : Shoe components, 
 |tancompany@tancompany.com|Centro Direzionale Isola F.3Napoli (NA)-80143Italy | Footwear : Other - footwear, 
 |info@technogel.it|Via Bassanese Inferiore 32Pozzoleone (VI)-36050Italy | Footwear : Shoe components, 
 |info@tecnominuterie.com|Loc. CaselleVia Meucci 18SELVAZZANO DENTRO (PD)-35030Italy | Footwear : Shoe components, 
 |info@tecnomimet.com|Via G. Galilei, 4/AZ.I. SelveTeolo (PD)-35037Italy | Footwear : Other - footwear, 
 |info@tecnosmaltaturesrl.com|Contrada Porchia, 1Marina PalmenseFermo (AP)-63023Italy | Footwear : Shoe components, 
Sergio Molta President |ttoschi@tessiltoschi.it|Via delle Fonti 396Prato-59100Italy | Footwear : Shoe components, 
 |tp@torresiplastiche.it|Via Martin Luther King, 38Monte S.Giusto (MC)-62015Italy | Footwear : Shoe components, 
 |towersrl@iol.it|Via Palmiro Togliatti, 1097Zona Industriale CellaMercato Saraceno (FO)-47025Italy | Footwear : Shoe components, 
 |info@tradigo.it|Via Bolivia 15Milano-20157Italy | Footwear : Other - footwear, 
 |info@tre-bi.it|Via Padova 27Z.I.Cornuda (TV)-31041Italy | Footwear : Shoe components, 
 |info@guardolificiotris.com|Via Albinatico 68Ponte Buggianese (PT)-51019Italy | Footwear : Shoe components, Leather Goods : Other - leather goods, 
